name	hex	big
SPRITEMOVEDATA_00	00	0
SPRITEMOVEDATA_STILL	01	0
SPRITEMOVEDATA_WANDER	02	0
SPRITEMOVEDATA_SPINRANDOM_SLOW	03	0
SPRITEMOVEDATA_WALK_UP_DOWN	04	0
SPRITEMOVEDATA_WALK_LEFT_RIGHT	05	0
SPRITEMOVEDATA_STANDING_DOWN	06	0
SPRITEMOVEDATA_STANDING_UP	07	0
SPRITEMOVEDATA_STANDING_LEFT	08	0
SPRITEMOVEDATA_STANDING_RIGHT	09	0
SPRITEMOVEDATA_SPINRANDOM_FAST	0a	0
SPRITEMOVEDATA_PLAYER	0b	0
SPRITEMOVEDATA_INDEXED_1	0c	0
SPRITEMOVEDATA_INDEXED_2	0d	0
SPRITEMOVEDATA_0E	0e	0
SPRITEMOVEDATA_0F	0f	0
SPRITEMOVEDATA_10	10	0
SPRITEMOVEDATA_11	11	0
SPRITEMOVEDATA_12	12	0
SPRITEMOVEDATA_FOLLOWING	13	0
SPRITEMOVEDATA_SCRIPTED	14	0
SPRITEMOVEDATA_BIGDOLLSYM	15	1
SPRITEMOVEDATA_POKEMON	16	0
SPRITEMOVEDATA_SUDOWOODO	17	0
SPRITEMOVEDATA_SMASHABLE_ROCK	18	0
SPRITEMOVEDATA_STRENGTH_BOULDER	19	0
SPRITEMOVEDATA_FOLLOWNOTEXACT	1a	0
SPRITEMOVEDATA_SHADOW	1b	0
SPRITEMOVEDATA_EMOTE	1c	0
SPRITEMOVEDATA_SCREENSHAKE	1d	0
SPRITEMOVEDATA_SPINCOUNTERCLOCKWISE	1e	0
SPRITEMOVEDATA_SPINCLOCKWISE	1f	0
SPRITEMOVEDATA_BIGDOLLASYM	20	1
SPRITEMOVEDATA_BIGDOLL	21	1
SPRITEMOVEDATA_BOULDERDUST	22	0
SPRITEMOVEDATA_GRASS	23	0
SPRITEMOVEDATA_SWIM_WANDER	24	0
